date,bulk_campaign_id,count_click,count_complain,count_hard_bounce,count_open,count_purchase,count_send,count_soft_bounce,count_subscribe,count_unsubscribe,nunique_click,nunique_complain,nunique_hard_bounce,nunique_open,nunique_purchase,nunique_send,nunique_soft_bounce,nunique_subscribe,nunique_unsubscribe,count_hbq_spam,nunique_hbq_spam,count_close,nunique_close
2022-05-19,563,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2022-05-19,577,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,622,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,634,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,676,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,764,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,766,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,783,1,0,0,8,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
2022-05-19,817,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,833,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,849,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2022-05-19,868,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,907,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,908,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,938,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,952,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,965,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,992,0,0,0,15,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0
2022-05-19,998,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-05-19,1011,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1048,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1072,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1099,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1140,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-05-19,1204,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2022-05-19,1240,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1330,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1358,1,0,0,6,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
2022-05-19,1378,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-05-19,1409,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,1457,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,1468,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0
2022-05-19,1469,0,0,0,7,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0
2022-05-19,1477,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,1508,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2022-05-19,1525,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1535,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-05-19,1557,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1573,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1588,0,0,0,13,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0
2022-05-19,1589,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2022-05-19,1590,0,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2022-05-19,1598,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-05-19,1599,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2022-05-19,1603,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2022-05-19,1625,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2022-05-19,1824,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2022-05-19,1828,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,1898,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2022-05-19,1908,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2022-05-19,1961,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2022-05-19,2000,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2022-05-19,2003,0,0,0,46,0,0,0,0,4,0,0,0,42,0,0,0,0,4,0,0,0,0
2022-05-19,2029,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2053,4,0,0,4,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0
2022-05-19,2088,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2022-05-19,2090,0,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2022-05-19,2127,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2146,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2157,1,0,0,20,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0
2022-05-19,2197,0,0,0,21,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
2022-05-19,2222,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2022-05-19,2229,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2022-05-19,2246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-05-19,2282,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2022-05-19,2298,0,0,0,9,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0
2022-05-19,2309,0,0,0,27,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
2022-05-19,2317,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2022-05-19,2340,0,0,0,29,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
2022-05-19,2366,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2022-05-19,2367,0,0,0,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
2022-05-19,2404,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2022-05-19,2406,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2423,0,0,0,29,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
2022-05-19,2443,0,0,0,23,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
2022-05-19,2499,6,0,0,110,1,0,0,0,12,5,0,0,105,1,0,0,0,9,0,0,0,0
2022-05-19,2575,1,0,0,49,0,0,0,0,2,1,0,0,43,0,0,0,0,2,0,0,0,0
2022-05-19,2605,1,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
2022-05-19,2641,0,0,0,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
2022-05-19,2668,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2022-05-19,2682,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2716,0,0,0,13,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0
2022-05-19,2768,0,0,0,28,0,0,0,0,1,0,0,0,26,0,0,0,0,1,0,0,0,0
2022-05-19,2780,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2793,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-05-19,2795,0,0,0,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
